abak	áː b a k
gledališče	ɡ l ɛ d a l ìː ʃ t͡ʃ ɛ
gledati	ɡ l èː d a t i
gleženj	ɡ l èː ʒ ə n
glina	ɡ l ìː n a
globlji	ɡ l óː b l j i
globok	ɡ l ɔ b ɔ́ k
glodalec	ɡ l ɔ d áː l ə t͡s
glog	ɡ l óː k
glog	ɡ l ɔ́ k
gluh	ɡ l úː x
glup	ɡ l úː p
glušji	ɡ l úː ʃ j i
gnati	ɡ n àː t i
gnesti	ɡ n ɛ̀ː s t i
gnil	ɡ n íː ʋ
gniti	ɡ n ìː t i
gnoj	ɡ n óː j
gnosticizem	ɡ n ɔ s t i t͡s ìː z ə m
gnostičen	ɡ n òː s t i t͡ʃ ə n
goba	ɡ òː b a
god	ɡ óː t
godba	ɡ óː d b a
gol	ɡ óː l
gol	ɡ ɔ́ ʋ
gol	ɡ ɔ́ː ʋ
golob	ɡ ɔ l óː p
golobica	ɡ ɔ l ɔ b ìː t͡s a
golobrad	ɡ ɔ l ɔ b r á t
golobrad	ɡ ɔ l ɔ b r áː t
golt	ɡ ɔ́ː ʋ t
gonoreja	ɡ ɔ n ɔ r ɛ́ː j a
gor	ɡ ɔ̀ː r
gora	ɡ ɔ̀ː r a
goreti	ɡ ɔ r èː t i
gorica	ɡ ɔ r ìː t͡s a
gorivo	ɡ ɔ r ìː ʋ ɔ
gorčica	ɡ óː r t͡ʃ i t͡s a
gorčica	ɡ ɔ r t͡ʃ ìː t͡s a
gos	ɡ óː s
gosenica	ɡ ɔ s éː n i t͡s a
gospa	ɡ ɔ s p àː
gospod	ɡ ɔ s p óː t
gospodar	ɡ ɔ s p ɔ d àː r
gospodična	ɡ ɔ s p ɔ d íː t͡ʃ n a
gost	ɡ óː s t
gost	ɡ ɔ́ s t
gosti	ɡ òː s t i
gostitelj	ɡ ɔ s t íː t ɛ l
govedina	ɡ ɔ ʋ éː d i n a
govedo	ɡ ɔ ʋ éː d ɔ
govno	ɡ ɔ̀ː ʋ n ɔ
govor	ɡ ɔ́ː ʋ ɔ r
govorec	ɡ ɔ ʋ óː r ə t͡s
govoriti	ɡ ɔ ʋ ɔ r ìː t i
govoriti	ɡ ɔ ʋ ɔ r íː t i
gozd	ɡ óː s t
gozd	ɡ ɔ́ s t
gozdarstvo	ɡ ɔ z d áː r s t ʋ ɔ
grablje	ɡ r àː b l j ɛ
grad	ɡ r áː t
gradec	ɡ r áː d ə t͡s
grah	ɡ r á x
granica	ɡ r áː n i t͡s a
grapa	ɡ r àː p a
gravitacija	ɡ r a ʋ i t àː t͡s i j a
gravitacijski	ɡ r a ʋ i t a t͡s íː j s k i
grb	ɡ ə́ r p
grba	ɡ ə̀ r b a
grd	ɡ ə́ r t
grebsti	ɡ r ɛ̀ː p s t i
gregorič	ɡ r èː ɡ ɔ r i t͡ʃ
greh	ɡ r èː x
grenak	ɡ r ɛ n áː k
grenek	ɡ r ɛ̀ː n ə k
grenivka	ɡ r ɛ n íː ʋ k a
grenlandija	ɡ r éː n l áː n d i j a
greti	ɡ r èː t i
grešiti	ɡ r ɛ ʃ ìː t i
grešiti	ɡ r ɛ ʃ íː t i
gripa	ɡ r ìː p a
gristi	ɡ r ìː s t i
griva	ɡ r ìː ʋ a
griža	ɡ r íː ʒ a
grji	ɡ ə́ r j i
grk	ɡ ə́ r k
grkinja	ɡ ə́ r k i n j a
grlica	ɡ ə̀ r l i t͡s a
grlo	ɡ ə̀ r l ɔ
grm	ɡ ə́ r m
grob	ɡ r ɔ́ p
grof	ɡ r ɔ́ f
grofica	ɡ r ɔ f ìː t͡s a
grofija	ɡ r ɔ f íː j a
grom	ɡ r ɔ́ m
gros	ɡ r óː
grozdje	ɡ r òː z d j ɛ
groziti	ɡ r ɔ z ìː t i
groziti	ɡ r ɔ z íː t i
grozljiv	ɡ r ɔ z l j ìː ʋ
grozljivejši	ɡ r ɔ z l j ìː ʋ ɛ j ʃ i
grozljivka	ɡ r ɔ z l j íː ʋ k a
gruzija	ɡ r úː z i j a
gruzijski	ɡ r úː z i j s k i
gruzinski	ɡ r u z íː n s k i
grča	ɡ ə̀ r t͡ʃ a
grčija	ɡ ə́ r t͡ʃ i j a
grši	ɡ ə́ r ʃ i
grški	ɡ ə́ r ʃ k i
grško	ɡ ə́ r ʃ k ɔ
grščina	ɡ ə́ r ʃ t͡ʃ i n a
guba	ɡ ùː b a
gubiti	ɡ u b ìː t i
gubiti	ɡ u b íː t i
gumb	ɡ úː m p
gvajana	ɡ ʋ a j áː n a
gvineja	ɡ ʋ i n ɛ́ː j a
haag	x áː k
habakuk	x a b a k úː k
hadron	x a d r óː n
hafnij	x àː f n i j
haitijski	x a íː t i j s k i
halucinacija	x a l u t͡s i n àː t͡s i j a
harfa	x áː r f a
harmonika	x a r m òː n i k a
hasidizem	x a s i d íː z ə m
hašiš	x áː ʃ i ʃ
heksagon	x ɛ k s a ɡ óː n
hektoliter	x éː k t ɔ l ìː t ə r
helij	x èː l i j
hematologija	x ɛ m a t ɔ l ɔ ɡ íː j a
heraldika	x ɛ r àː l d i k a
herbivor	x ɛ r b i ʋ óː r
hercegovina	x ɛ r t͡s ɛ ɡ ɔ ʋ ìː n a
hermelin	x ɛ r m ɛ l íː n
herodot	x ɛ r óː d ɔ t
heteroseksualnost	x ɛ t ɛ r ɔ s ɛ k s u áː l n ɔ s t
heziod	x ɛ z i j óː t
hiba	x ìː b a
hidrat	x i d r áː t
hidrolog	x i d r ɔ l óː k
hidrologija	x i d r ɔ l ɔ ɡ íː j a
hidžra	x íː d͡ʒ r a
hijena	x i j éː n a
hinavski	x i n áː ʋ s k i
hip	x íː p
historičen	x i s t òː r i t͡ʃ ə n
hitreje	x i t r ɛ̀ː j ɛ
hitrejše	x i t r ɛ̀ː j ʃ ɛ
hitro	x ìː t r ɔ
hitrost	x i t r óː s t
hiša	x ìː ʃ a
hišen	x íː ʃ ə n
hladen	x l áː d ə n
hladilnik	x l a d íː l n i k
hlače	x l àː t͡ʃ ɛ
hleb	x l éː p
hleb	x l ɛ́ p
hlev	x l èː ʋ
hlev	x l éː ʋ
hmelj	x m éː l
hmelj	x m ɛ́ l
hobotnica	x ɔ b óː t n i t͡s a
hoditi	x ɔ d ìː t i
hoditi	x ɔ d íː t i
holandski	x ɔ l áː n t s k i
holm	x òː l m
holm	x óː l m
holmij	x òː l m i j
homoseksualec	x ɔ m ɔ s ɛ k s u áː l ə t͡s
homoseksualen	x ɔ m ɔ s ɛ k s u áː l ə n
homoseksualnost	x ɔ m ɔ s ɛ k s u áː l n ɔ s t
horvat	x ɔ́ː r ʋ a t
hosta	x óː s t a
hostnik	x óː s t n i k
hoteti	x ɔ t èː t i
hrana	x r àː n a
hraniti	x r a n ìː t i
hraniti	x r a n íː t i
hraniti	x r àː n i t i
hrast	x r àː s t
hrbet	x ə r b ə́ t
hrbet	x ə̀ r b ə t
hrbtenjača	x ə r p t ɛ n j àː t͡ʃ a
hren	x r ɛ́ n
hrib	x r ìː p
hripav	x r ìː p a ʋ
hropsti	x r ɔ̀ː p s t i
hrošč	x r ɔ́ ʃ t͡ʃ
hrup	x r úː p
hrupen	x r ùː p ə n
hrupen	x r úː p ə n
hruška	x r úː ʃ k a
hrvaška	x ə r ʋ áː ʃ k a
hrvaški	x ə r ʋ áː ʃ k i
hrvaščina	x ə r ʋ áː ʃ t͡ʃ i n a
hrček	x ə́ r t͡ʃ ə k
hud	x úː t
hudič	x u d ìː t͡ʃ
hujši	x úː j ʃ i
hurija	x ùː r i j a
huriska	x u r íː s k a
husit	x u s íː t
hvala	x ʋ àː l a
hvaliti	x ʋ a l ìː t i
hvaliti	x ʋ a l íː t i
hvaliti	x ʋ àː l i t i
hči	x t͡ʃ íː
idila	i d íː l a
igla	íː ɡ l a
iglica	íː ɡ l i t͡s a
iglokožec	i ɡ l ɔ k óː ʒ ə t͡s
igo	i ɡ óː
igra	íː ɡ r a
igralec	i ɡ r áː l ə t͡s
igrati	i ɡ r àː t i
igrača	i ɡ r àː t͡ʃ a
ime	i m éː
imenovalnik	i m ɛ n ɔ ʋ áː l n i k
imenovati	i m ɛ n ɔ ʋ àː t i
imeti	i m èː t i
in	i n
indij	ìː n d i j
indija	ìː n d i j a
indijec	íː n d i j ə t͡s
indijka	ìː n d i j k a
indijski	ìː n d i j s k i
indonezija	i n d ɔ n èː z i j a
informatik	i n f ɔ r m àː t i k
ingver	ìː n ɡ ʋ ɛ r
ingver	íː n ɡ ʋ ɛ r
insekt	i n s éː k t
instrumental	i n s t r u m ɛ n t áː l
instrumental	íː n s t r u m ɛ n t a l
instrumentalen	i n s t r u m ɛ n t áː l ə n
invazija	i n ʋ a z íː j a
inštitut	i n ʃ t i t úː t
irak	i r áː k
irec	íː r ə t͡s
iridij	i r ìː d i j
irka	íː r k a
ironija	i r ɔ n íː j a
irska	íː r s k a
irski	íː r s k i
irsko	íː r s k ɔ
irščina	íː r ʃ t͡ʃ i n a
iskati	i s k àː t i
iskra	ìː s k r a
islam	íː s l a m
islandija	i s l àː n d i j a
islandski	i s l áː n t s k i
istanbul	íː s t a n b u l
isti	íː s t i
istra	íː s t r a
italija	i t àː l i j a
italijan	i t a l i j á n
italijan	i t a l i j áː n
italijanka	i t a l i j áː n k a
italijanski	i t a l i j áː n s k i
italijansko	i t a l i j áː n s k ɔ
italijanščina	i t a l i j áː n ʃ t͡ʃ i n a
iterbij	i t ɛ̀ː r b i j
iti	ìː t i
iti	íː t i
itrij	ìː t r i j
ivan	íː ʋ a n
iz	i s
izbira	i z b íː r a
izboljšava	i z b ɔ l ʃ áː ʋ a
izbrati	i z b r àː t i
izdajalec	i z d a j áː l ə t͡s
izdati	i z d àː t i
izglagolski	i z ɡ l àː ɡ ɔ l s k i
izgovoriti	i z ɡ ɔ ʋ ɔ r ìː t i
izgovoriti	i z ɡ ɔ ʋ ɔ r íː t i
izgovorjava	i z ɡ ɔ ʋ ɔ r j áː ʋ a
izgubiti	i z ɡ u b ìː t i
izgubiti	i z ɡ u b íː t i
izključiti	i s k l j ùː t͡ʃ i t i
izklopiti	i s k l òː p i t i
izklopiti	i s k l óː p i t i
izklopiti	i s k l ɔ p ìː t i
izklopiti	i s k l ɔ p íː t i
izkrcanje	íː s k ə r t͡s àː n j ɛ
izložba	i z l óː ʒ b a
izmena	i z m ɛ́ː n a
izmolsti	i z m ɔ̀ː ʋ s t i
izpeljanka	i s p ɛ l j àː n k a
izpeljati	i s p ɛ l j àː t i
izposoditi	i s p ɔ s òː d i t i
izposoditi	i s p ɔ s ɔ d ìː t i
izposoditi	i s p ɔ s ɔ d íː t i
izpuščaj	i s p u ʃ t͡ʃ áː j
izrael	íː z r a ɛ l
izraz	i z r á s
izsiljevalski	i s s i l j ɛ ʋ áː l s k i
izsiljevalski	i s s i l j ɛ ʋ áː ʋ s k i
izuti	i z ùː t i
izvijač	i z ʋ i j àː t͡ʃ
izvir	i z ʋ íː r
ja	j àː
ja	j áː
jablana	j àː b l a n a
jablana	j áː b l a n a
jabolko	j àː b ɔ ʋ k ɔ
jadro	j àː d r ɔ
jadro	j áː d r ɔ
jagnje	j àː ɡ n j ɛ
jagnjec	j àː ɡ n j ɛ t͡s
jagnjec	j áː ɡ n j ɛ t͡s
jagnjetina	j a ɡ n j ɛ t ìː n a
jagnjetina	j àː ɡ n j ɛ t i n a
jagoda	j àː ɡ ɔ d a
jahati	j àː x a t i
jahati	j áː x a t i
jajce	j àː j t͡s ɛ
jajčevec	j àː j t͡ʃ ɛ ʋ ə t͡s
jajčevec	j áː j t͡ʃ ɛ ʋ ə t͡s
jajčnik	j áː j t͡ʃ n i k
jak	j áː k
jakac	j áː k a t͡s
jama	j àː m a
jamajka	j a m áː j k a
janez	j àː n ɛ s
janež	j àː n ɛ ʃ
jantar	j àː n t a r
jantar	j áː n t a r
januar	j áː n u a r
janšizem	j a n ʃ i z ɛ m
japonska	j a p óː n s k a
jarek	j àː r ə k
jarek	j áː r ə k
jarem	j àː r ə m
jasen	j àː s ə n
jasnejši	j a s n ɛ́ː j ʃ i
jasnejši	j àː s n ɛ j ʃ i
jasniti	j a s n ìː t i
jasniti	j a s n íː t i
jaspis	j áː s p i s
jaspisen	j áː s p i s ə n
jastreb	j áː s t r ɛ p
javiti	j àː ʋ i t i
javor	j àː ʋ ɔ r
jaz	j á s
jazbec	j áː z b ə t͡s
jazon	j áː z ɔ n
je	j èː
je	j ɛ́
jebati	j éː b a t i
jebati	j ɛ́ː b a t i
jedec	j éː d ə t͡s
jegulja	j ɛ ɡ ùː l j a
jeklo	j ɛ̀ː k l ɔ
jelen	j ɛ̀ː l ɛ n
jelena	j ɛ l éː n a
jelka	j èː l k a
jelša	j èː ʋ ʃ a
jemati	j ɛ m àː t i
jemen	j èː m ə n
jerebica	j ɛ r ɛ b ìː t͡s a
jeremija	j ɛ r ɛ m íː j a
jeruzalem	j ɛ r úː z a l ɛ m
jesen	j ɛ s éː n
jesen	j ɛ̀ː s ɛ n
jesti	j èː s t i
jeti	j èː t i
jetika	j èː t i k a
jetra	j èː t r a
jeza	j èː z a
jezen	j èː z ə n
jezero	j éː z ɛ r ɔ
jezik	j ɛ̀ː z i k
jezikoslovec	j ɛ z i k ɔ s l ɔ́ː ʋ ə t͡s
jezikoslovje	j ɛ z i k ɔ s l ɔ́ː ʋ j ɛ
jeznejši	j èː z n ɛ j ʃ i
jezus	j éː z u s
ječmen	j ɛ̀ː t͡ʃ m ɛ n
jež	j èː ʃ
jež	j éː ʃ
ježevec	j èː ʒ ɛ ʋ ə t͡s
ježevec	j éː ʒ ɛ ʋ ə t͡s
jod	j óː t
joga	j óː ɡ a
jogurt	j óː ɡ u r t
jokati	j òː k a t i
jokati	j ɔ k àː t i
jordanija	j ɔ r d àː n i j a
jordanski	j ɔ r d áː n s k i
jože	j óː ʒ ɛ
jožef	j óː ʒ ɛ f
judovstvo	j ùː d ɔ ʋ s t ʋ ɔ
jug	j ú k
jug	j úː k
jugoslavija	j u ɡ ɔ s l àː ʋ i j a
juha	j ùː x a
julij	j ùː l i j
junij	j ùː n i j
jupiter	j úː p i t ə r
jur	j ùː r
jurij	j ùː r i j
jutri	j úː t r i
jutro	j ùː t r ɔ
juvan	j úː ʋ a n
južen	j ùː ʒ ə n
južina	j ùː ʒ i n a
južnejši	j ùː ʒ n ɛ j ʃ i
južnoameriški	j u ʒ n ɔ a m ɛ́ː r i ʃ k i
južnoslovanski	j u ʒ n ɔ s l ɔ ʋ áː n s k i
kad	k á t
kadar	k á d a r
kadilo	k a d ìː l ɔ
kaditi	k a d ìː t i
kaditi	k a d íː t i
kadmij	k àː d m i j
kaj	k àː j
kaj	k á j
kajak	k áː j a k
kako	k a k òː
kako	k a k óː
kakor	k á k ɔ r
kakovost	k a k ɔ̀ː ʋ ɔ s t
kakšen	k àː k ʃ ə n
kakšen	k áː k ʃ ə n
kalcij	k àː l t͡s i j
kalifornij	k a l i f òː r n i j
kalifornija	k a l i f òː r n i j a
kalij	k àː l i j
kaliti	k a l ìː t i
kaliti	k a l íː t i
kamela	k a m éː l a
kamen	k àː m ə n
kamerun	k áː m ɛ r u n
kamin	k a m íː n
kamion	k a m i j óː n
kanada	k áː n a d a
kanjon	k áː n j ɔ n
kapati	k àː p a t i
kapetan	k a p éː t a n
kapetanka	k a p éː t a n k a
kapitalist	k a p i t a l íː s t
kapitalizem	k a p i t a l ìː z ə m
kaplja	k àː p l j a
kapsula	k áː p s u l a
karamela	k a r a m éː l a
kardinal	k a r d i n áː l
karel	k àː r ə l
karta	k áː r t a
kartagina	k a r t áː ɡ i n a
katalonija	k a t a l òː n i j a
katalonski	k a t a l óː n s k i
katalonščina	k a t a l óː n ʃ t͡ʃ i n a
katedrala	k a t ɛ d r áː l a
kategorialen	k a t ɛ ɡ ɔ r i j áː l ə n
kategorija	k a t ɛ ɡ ɔ r íː j a
kateter	k a t èː t ə r
kava	k àː ʋ a
kavarna	k a ʋ áː r n a
kavka	k áː ʋ k a
kavkaz	k a ʋ k áː s
kavsati	k áː ʋ s a t i
kavčič	k áː ʋ t͡ʃ i t͡ʃ
kazahstan	k áː z a x s t a n
kazalec	k a z áː l ə t͡s
kazati	k a z àː t i
kazati	k àː z a t i
kazen	k áː z ə n
kaznovati	k a z n ɔ ʋ àː t i
kača	k àː t͡ʃ a
kašelj	k àː ʃ ə l
kašljati	k áː ʃ l j a t i
kašča	k àː ʃ t͡ʃ a
kdaj	ɡ d àː j
kdaj	ɡ d á j
kdaj	ɡ d áː j
kdo	ɡ d òː
kdo	ɡ d óː
kdor	ɡ d óː r
kdor	ɡ d ɔ́ r
kelih	k èː l i x
kelt	k éː l t
kemija	k ɛ m íː j a
kenguru	k ɛ n ɡ u r úː
kenija	k èː n i j a
kenta	k éː n t a
ker	k ɛ r
kern	k ɛ́ː r n
kersnik	k ɛ r s n ìː k
ki	k i
kikiriki	k i k i r i k íː
kilometer	k i l ɔ m èː t ə r
kinin	k i n íː n
kino	k íː n ɔ
kip	k íː p
kirij	k i r ìː j
kis	k íː s
kisel	k ìː s ə ʋ
kisik	k i s íː k
kislina	k i s l ìː n a
kit	k íː t
kita	k ìː t a
kitajec	k i t áː j ə t͡s
kitajka	k i t áː j k a
kitajska	k i t áː j s k a
kitajski	k i t áː j s k i
kitajščina	k i t áː j ʃ t͡ʃ i n a
kitara	k i t áː r a
kje	k j èː
kje	k j éː
kjer	k j éː r
kladivce	k l a d ìː ʋ t͡s ɛ
kladivce	k l a d íː ʋ t͡s ɛ
kladivce	k l àː d i ʋ t͡s ɛ
kladivo	k l a d ìː ʋ ɔ
kladivo	k l àː d i ʋ ɔ
klarinet	k l a r i n éː t
klas	k l áː s
klasičen	k l àː s i t͡ʃ ə n
klasti	k l àː s t i
klati	k l àː t i
klavir	k l a ʋ íː r
klen	k l è n
klen	k l éː n
klen	k l ɛ̀ n
kleopatra	k l ɛ óː p a t r a
klepati	k l ɛ p àː t i
klepec	k l ɛ̀ː p ə t͡s
klečati	k l ɛ t͡ʃ àː t i
klešče	k l èː ʃ t͡ʃ ɛ
klic	k l íː t͡s
klicaj	k l i t͡s áː j
klicati	k l ìː t͡s a t i
klima	k l ìː m a
klima	k l íː m a
klitoris	k l íː t ɔ r i s
kljukica	k l j ùː k i t͡s a
kljun	k l j úː n
kljunaš	k l j u n àː ʃ
ključ	k l j ùː t͡ʃ
ključavnica	k l j u t͡ʃ áː ʋ n i t͡s a
ključiti	k l j ùː t͡ʃ i t i
klobasa	k l ɔ b àː s a
klobuk	k l ɔ b ùː k
klobučar	k l ɔ b u t͡ʃ àː r
klofuta	k l ɔ f ùː t a
klokan	k l óː k a n
klop	k l óː p
klop	k l ɔ́ p
klopotača	k l ɔ p ɔ t àː t͡ʃ a
klor	k l óː r
klorofil	k l ɔ r ɔ f íː l
klovn	k l ɔ̀ː ʋ n
klošar	k l óː ʃ a r
klošar	k l ɔ ʃ àː r
klošč	k l ɔ́ ʃ t͡ʃ
kmalu	k m áː l u
kmet	k m ɛ́ t
kmetija	k m ɛ t íː j a
kneginja	k n éː ɡ i n j a
knez	k n éː s
knjiga	k n j ìː ɡ a
knjigarna	k n j i ɡ áː r n a
književnost	k n j i ʒ éː ʋ n ɔ s t
ko	k ɔ
kobalt	k óː b a l t
kobarid	k ɔ b a r íː t
kobila	k ɔ b ìː l a
kobilica	k ɔ b ìː l i t͡s a
kocka	k óː t͡s k a
kockati	k óː t͡s k a t i
koder	k òː d ə r
kokalj	k òː k a l
kokolj	k òː k ɔ l
kokot	k ɔ k óː t
kokoš	k ɔ k óː ʃ
kola	k óː l a
kola	k ɔ̀ː l a
kolcanje	k ɔ̀ː u̯ t͡s a n j ɛ
kolcanje	k ɔ́ː u̯ t͡s a n j ɛ
koledar	k ɔ l ɛ d àː r
koledž	k óː l ɛ t ʃ
koleno	k ɔ l èː n ɔ
kolesariti	k ɔ l ɛ s àː r i t i
kolidž	k óː l i t ʃ
koliko	k òː l i k ɔ
koliko	k óː l i k ɔ
količina	k ɔ l i t͡ʃ ìː n a
kolo	k óː l ɔ
kolo	k ɔ l óː
komaj	k óː m a j
komar	k ɔ m àː r
komarček	k ɔ m àː r t͡ʃ ə k
komarček	k ɔ m áː r t͡ʃ ə k
komet	k ɔ m éː t
komolec	k ɔ m óː l ə t͡s
komori	k ɔ m óː r i
kompas	k óː m p a s
kompas	k ɔ m p áː s
komunizem	k ɔ m u n ìː z ə m
kondom	k ɔ n d óː m
konec	k ɔ̀ː n ə t͡s
konj	k ɔ́ n
konkreten	k ɔ n k r éː t ə n
konkretno	k ɔ n k r éː t n ɔ
kontinent	k ɔ n t i n ɛ́ n t
kontrabas	k óː n t r a b áː s
končati	k ɔ n t͡ʃ àː t i
končen	k ɔ̀ː n t͡ʃ ə n
končno	k ɔ̀ː n t͡ʃ n ɔ
kop	k óː p
kopalnica	k ɔ p áː l n i t͡s a
kopati	k òː p a t i
kopati	k ɔ p àː t i
kopel	k òː p ɛ ʋ
kopel	k ɔ p éː l
koper	k òː p ə r
koper	k ɔ̀ː p ə r
kopito	k ɔ p ìː t ɔ
kopje	k òː p j ɛ
kopno	k óː p n ɔ
kopno	k ɔ̀ː p n ɔ
kopno	k ɔ́ː p n ɔ
korak	k ɔ r áː k
koreja	k ɔ r ɛ́ː j a
koren	k ɔ r éː n
korenina	k ɔ r ɛ n ìː n a
korenje	k ɔ r éː n j ɛ
korenje	k ɔ r ɛ̀ː n j ɛ
korošec	k ɔ r óː ʃ ə t͡s
koroška	k ɔ r óː ʃ k a
koruza	k ɔ r ùː z a
kos	k óː s
kosilo	k ɔ s ìː l ɔ
kosinus	k óː s i n u s
kosinus	k óː z i n u s
kosinus	k ɔ́ s íː n u s
kositer	k ɔ s ìː t ə r
kositi	k òː s i t i
kositi	k ɔ s ìː t i
kositi	k ɔ s íː t i
kosmulja	k ɔ s m ùː l j a
kost	k óː s t
kostanj	k ɔ̀ː s t a n
kostnica	k óː s t n i t͡s a
kot	k òː t
kot	k ɔ t
kovanec	k ɔ ʋ àː n ə t͡s
kovati	k ɔ ʋ àː t i
kovač	k ɔ ʋ àː t͡ʃ
kovinski	k ɔ ʋ íː n s k i
kovnica	k ɔ́ː ʋ n i t͡s a
koza	k ɔ̀ː z a
kozarec	k ɔ z áː r ə t͡s
kozel	k ɔ̀ː z ə ʋ
kozmologija	k ɔ z m ɔ l ɔ ɡ íː j a
kozorog	k ɔ z ɔ r óː k
kočija	k ɔ t͡ʃ íː j a
koš	k ɔ́ ʃ
košara	k ɔ ʃ áː r a
košarka	k ɔ ʃ áː r k a
koža	k òː ʒ a
kraj	k r á j
krajina	k r àː j i n a
krajina	k r áː j i n a
krajšava	k r a j ʃ áː ʋ a
krajši	k r áː j ʃ i
kralj	k r àː l
kraljestvo	k r a l j éː s t ʋ ɔ
kraljevina	k r a l j ɛ ʋ ìː n a
kraljica	k r a l j ìː t͡s a
krap	k r á p
kras	k r á s
kras	k r áː s
krastača	k r a s t àː t͡ʃ a
krasti	k r àː s t i
kratek	k r àː t ə k
krater	k r àː t ɛ r
kratica	k r a t ìː t͡s a
kratkovaloven	k r a t k ɔ ʋ a l ɔ́ː ʋ ə n
krava	k r àː ʋ a
kravžati	k r áː ʋ ʒ a t i
kreda	k r éː d a
krema	k r éː m a
krempelj	k r èː m p ə l
kreniti	k r ɛ n ìː t i
kreniti	k r ɛ n íː t i
kres	k r éː s
kreta	k r éː t a
kri	k r íː
krik	k r íː k
krilo	k r ìː l ɔ
kripton	k r íː p t ɔ n
kristal	k r i s t áː l
kristalizacija	k r i s t a l i z àː t͡s i j a
kristjan	k r i s t j áː n
kristus	k r íː s t u s
kriti	k r ìː t i
krivda	k r íː ʋ d a
krivoverec	k r i ʋ ɔ ʋ éː r ə t͡s
križ	k r ìː ʃ
križanje	k r ìː ʒ a n j ɛ
križanje	k r íː ʒ a n j ɛ
križanka	k r íː ʒ a n k a
krma	k ə̀ r m a
krog	k r óː k
krog	k r ɔ k
krogla	k r óː ɡ l a
krojač	k r ɔ j àː t͡ʃ
krokar	k r óː k a r
krom	k r óː m
krom	k r ɔ́ m
krompir	k r ɔ m p ìː r
krompir	k r ɔ m p íː r
krona	k r óː n a
kronati	k r óː n a t i
krst	k ə́ r s t
krsta	k ə̀ r s t a
krt	k ə́ r t
kruh	k r ú x
krut	k r úː t
krutejši	k r ùː t ɛ j ʃ i
krutejši	k r úː t ɛ j ʃ i
krvaveti	k ə r ʋ a ʋ èː t i
krzno	k ə́ r z n ɔ
krč	k ə̀ r t͡ʃ
krč	k ə́ r t͡ʃ
krščanstvo	k ə r ʃ t͡ʃ áː n s t ʋ ɔ
ksenofobija	k s ɛ n ɔ f ɔ b íː j a
ksenon	k s éː n ɔ n
ksilofon	k s i l ɔ f óː n
kuba	k úː b a
kuga	k ùː ɡ a
kuhar	k úː x a r
kuhati	k ùː x a t i
kuhinja	k ùː x i n j a
kukavica	k ùː k a ʋ i t͡s a
kuna	k ùː n a
kunec	k ùː n ə t͡s
kunec	k úː n ə t͡s
kup	k ú p
kupa	k ùː p a
kupiti	k u p ìː t i
kupiti	k u p íː t i
kupiti	k ùː p i t i
kupovati	k u p ɔ ʋ àː t i
kura	k ùː r a
kurba	k úː r b a
kurdščina	k úː r t ʃ t͡ʃ i n a
kurec	k úː r ə t͡s
kurva	k úː r ʋ a
kuščar	k ùː ʃ t͡ʃ a r
kuščar	k úː ʃ t͡ʃ a r
kuža	k úː ʒ a
kvadrat	k ʋ a d r áː t
kvar	k ʋ áː r
kvark	k ʋ áː r k
kvartet	k ʋ a r t éː t
kvas	k ʋ áː s
labod	l a b óː t
ladja	l àː d j a
lagati	l a ɡ àː t i
lahek	l àː x ə k
lahko	l a x k óː
lajati	l áː j a t i
lama	l àː m a
lani	l àː n i
lantan	l a n t áː n
las	l áː s
last	l áː s t
lasten	l àː s t ə n
lastnina	l a s t n ìː n a
lastnost	l a s t n óː s t
lastovica	l àː s t ɔ ʋ i t͡s a
lastovka	l àː s t ɔ ʋ k a
latinica	l a t íː n i t͡s a
latinski	l a t íː n s k i
latinščina	l a t íː n ʃ t͡ʃ i n a
latvija	l àː t ʋ i j a
latvijec	l àː t ʋ i j ə t͡s
latvijka	l àː t ʋ i j k a
latvijski	l àː t ʋ i j s k i
latvijsko	l àː t ʋ i j s k ɔ
latvijščina	l àː t ʋ i j ʃ t͡ʃ i n a
lavrencij	l a ʋ r èː n t͡s i j
lačen	l àː t͡ʃ ə n
laž	l áː ʃ
lažji	l áː ʒ j i
lažnivec	l a ʒ n íː ʋ ə t͡s
le	l ɛ́
led	l éː t
ledenik	l ɛ d ɛ n ìː k
legendaren	l ɛ ɡ ɛ n d áː r ə n
leha	l èː x a
lek	l éː k
lemež	l éː m ɛ ʃ
lemež	l ɛ̀ː m ɛ ʃ
len	l éː n
len	l ɛ́ n
lenivec	l ɛ n íː ʋ ə t͡s
leon	l éː ɔ n
lep	l éː p
lepiti	l èː p i t i
lepiti	l ɛ p ìː t i
lepiti	l ɛ p íː t i
lepota	l ɛ p ɔ̀ː t a
lepši	l éː p ʃ i
les	l éː s
leska	l èː s k a
lesketati	l ɛ s k ɛ t àː t i
lesti	l èː s t i
lestvica	l èː s t ʋ i t͡s a
let	l ɛ́ t
letališče	l ɛ t a l ìː ʃ t͡ʃ ɛ
letalo	l ɛ t àː l ɔ
leten	l éː t ə n
leteti	l ɛ t èː t i
leto	l èː t ɔ
lev	l ɛ́ ʋ
levinja	l ɛ ʋ ìː n j a
levinja	l ɛ̀ː ʋ i n j a
levinja	l ɛ́ː ʋ i n j a
lezbijka	l èː z b i j k a
leči	l èː t͡ʃ i
lešnik	l èː ʃ n i k
ležaj	l ɛ ʒ áː j
ležati	l ɛ ʒ àː t i
libanon	l íː b a n ɔ n
